id,projectId,wcagCriterionId,status,notes,createdAt,updatedAt
226bc482-034b-4755-b8fa-6e6a0e50d034,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,c0dbc008-6147-462e-b77e-77e39976adb8,failed,,,
98c681b8-ffe1-4bb9-956e-aecd4ea1d6cb,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,4cb21fff-b4e0-4bd5-a312-f472f8541396,failed,,,
53cb8bc7-b025-4d06-8185-4e69a472698e,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,143487c8-c34d-4cf6-bb8d-ad91a9db7b53,passed,,,
82b9e480-44ee-4a22-98db-62f31f3a7a98,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,746bbe4a-dccb-4e47-8533-f973001a5986,passed,,,
e538bace-44bf-400d-8857-2f049816a3e3,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,953b6042-bb8c-4124-ae4b-a5b1669fe425,passed,,,
4db0b7f2-9204-4050-a245-c851c1a4fef9,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,89d02ab5-a3ba-47aa-8c7b-9c740cc8a23d,passed,,,
256dcfb2-f86c-45f4-81d9-ed0512b1a3d2,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,35d250a4-d5a2-4d75-9ebd-6fc4c6da9cbc,failed,,,
14ec7118-7315-497b-a18c-40974b6e7f2e,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,8470b9ff-d787-4ca0-9afb-afd2e2d142a8,passed,,,
2c1ce641-5ce0-4d7b-a7ef-3ea5ef1a6c68,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,c5da9884-1520-4257-9c7c-cfdf3e78c7a6,passed,,,
eedb56e3-42b9-4ae0-ad02-64868cc2549b,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,cd31b01e-f6f1-4e3a-bbbe-c83d8c570848,passed,,,
35dd6ec7-d814-43b1-af69-b29cf4e69c8e,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,967dd178-96c9-487f-aaf9-6508032abe65,failed,,,
e9ee356f-f3e0-49fb-bad4-07465a11b278,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,d1d29352-2853-4671-bd37-d2b466ab1cd0,passed,,,
4e16db54-f042-47ab-9847-35ae302be48d,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,b6281778-5ec0-4256-87a2-3fcf1602341b,passed,,,
c0eeada4-9268-4785-86ac-3f2921b2cb48,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,f9bb183a-eaa4-40fd-b878-91858322913f,passed,,,
