id,kenmerk,title,description,opdrachtgeverId,researchType,scope,sampleExplanation,browserInfo,assistiveTechnologyInfo,startDate,endDate,teamId,conclusionScope,conclusionSample,conclusionConformity,conclusionDiligence,createdAt,updatedAt
d0d6504f-e0f0-48c3-95a4-4e25df146fc1,A2-01,WCAG 2.2 AA - Deelonderzoek content - valkenswaard.nl,,,WCAG 2.2 AA deelonderzoek content,,,,,,,,,,,,Mon Feb 02 2026 21:08:44 GMT+0100 (Midden-Europese standaardtijd),Fri Feb 20 2026 15:48:49 GMT+0100 (Midden-Europese standaardtijd)
ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,A2-02,WCAG 2.2 AA - Deelonderzoek content - valkenswaard.nl herinspectie,,,WCAG 2.2 AA deelonderzoek content,,,,,,,,,,,,Fri Feb 20 2026 10:18:03 GMT+0100 (Midden-Europese standaardtijd),Fri Feb 20 2026 10:19:44 GMT+0100 (Midden-Europese standaardtijd)
6b40737b-a874-4e09-8b16-d4de37a18487,URK-01,WCAG 2.2 AA - aanvullend deelonderzoek content - mijn urk.nl,,,WCAG 2.2 AA – aanvullend deelonderzoek content,,,,,,,,,,,,Sun Feb 01 2026 20:59:06 GMT+0100 (Midden-Europese standaardtijd),Fri Feb 20 2026 11:28:03 GMT+0100 (Midden-Europese standaardtijd)
