id,projectId,sampleType,title,url,description,orderIndex,makeScreenshot,screenshotPath,screenshotAlt,createdAt,updatedAt
1ad3b61e-3ea8-4c8c-affc-dd1ea084d6a3,0cfcaf8d-bd5d-4614-82ef-13de9c61ca62,structured,Stap 3: Gegevens van de betrokken inwoner,https://www.grjw.nl/form/melding-vermoeden-zorgfraude-en-zorgkwaliteit/gegevens-van-de-betrokken-inwoner-3,,13,false,,,,
0a4c0d8c-7b0c-4d27-8c84-ba70f9a6bbb7,187ee560-4a80-40ad-bc89-8a1f3f69c80e,structured,Paspoort of identiteitskaart aanvragen | Gemeente Heerlen,https://www.heerlen.nl/paspoort-of-identiteitskaart-aanvragen,,21,false,,,,
8efb4cb8-9ae3-481e-af4f-d0afdeeb59f3,0cfcaf8d-bd5d-4614-82ef-13de9c61ca62,structured,Stap 1: Uw melding,https://www.grjw.nl/form/melding-vermoeden-zorgfraude-en-zorgkwaliteit/uw-melding-1,,11,false,,,,
d3ed3415-86cb-4f6e-96ed-5eaa645437e7,0cfcaf8d-bd5d-4614-82ef-13de9c61ca62,structured,Stap 4: Overige (contact)gegevens en bijlagen,https://www.grjw.nl/form/melding-vermoeden-zorgfraude-en-zorgkwaliteit/overige-contact-gegevens-en-bijlagen-4,,14,false,,,,
51160430-7dcc-472d-84ca-dbaf2583ce3f,0cfcaf8d-bd5d-4614-82ef-13de9c61ca62,structured,Stap 6: Controleren,https://www.grjw.nl/form/melding-vermoeden-zorgfraude-en-zorgkwaliteit/overzicht-7,,16,false,,,,
2b03254c-8d75-49e7-91d5-3e55b1d81c96,0cfcaf8d-bd5d-4614-82ef-13de9c61ca62,structured,Stap 5: Contact opnemen over de melding,https://www.grjw.nl/form/melding-vermoeden-zorgfraude-en-zorgkwaliteit/contact-opnemen-over-de-melding-5,,15,false,,,,
46be873c-761d-4fa5-a8ec-ca331384c95d,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,random,Tuincoach,https://www.bunschoten.nl/tuincoach,,14,false,,,,
f38a6bb3-0c74-4b03-af09-40852df64139,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,Evenement organiseren,https://www.bunschoten.nl/evenement-organiseren,,10,false,,,,
e0b35e33-46b5-4521-9e1d-8a499c7eb25e,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,random,Gemeentebelasting,https://www.bunschoten.nl/gemeentebelasting,,9,false,,,,
e91bcbbb-2fe6-4dd6-a220-62b1cb1b518d,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,Openbare laadpaal aanvragen,https://www.bunschoten.nl/openbare-laadpaal-aanvragen,,5,false,,,,
36fd5ae0-400c-4244-a9c4-0f19109686fb,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,Onderscheidingen,https://www.bunschoten.nl/onderscheidingen,,8,false,,,,
8f0e45c5-5b7d-4769-b557-a2784ee0bf92,175959f5-2e6d-4655-bfcf-19f99237cb88,structured,Homepage,https://www.bunschoten.nl/,,0,false,,,,
